Path
MaxiMarket_RrugaB_Teknik RrugaB_Teknik_Menza
Katedralja_Santea_BillClinton Santea_BillClinton_Tuneli
Katedralja_Menza_MAShTI Menza_MAShTI_Parlamenti
LidhjaPrizrenit_XhamiaLlapitTregu_Parlamenti KolegjiRiinvest_Lulishtja_Tirana
Parking_Katedralja_Santea Katedralja_Santea_BillClinton
FehmiLladrovci_Teknik_Qerimi Menza_MAShTI_Parlamenti MAShTI_Parlamenti_IbrahimLutfiu
28Nentori_PTK_BulevardiDK PTK_Katedralja_Menza
Menza_MAShTI_Parlamenti MAShTI_Parlamenti_IbrahimLutfiu
Menza_MAShTI_Parlamenti MAShTI_Parlamenti_IbrahimLutfiu
Qerimi_Menza_MAShTI Menza_MAShTI_Parlamenti
ImzotNikeprela_PTK_Katedralja PTK_Katedralja_Menza
Parlamenti_MAShTI_Menza MAShTI_Menza_Teknik
Santea_Katedralja_Menza Menza_Qerimi_EnverMaloku
PTK_Katedralja_Santea Katedralja_Santea_RobertDoll
ImzotNikeprela_PTK_Katedralja PTK_Katedralja_Menza Katedralja_Santea_RobertDoll
ShtjefenGjeqovi_BillClinton_Lakrishte BillClinton_Santea_Katedralja
RobertDoll_Santea_BillClinton Santea_Katedralja_Menza Menza_Qerimi_EnverMaloku
Menza_Katedralja_Santea Katedralja_Santea_BillClinton
RobertDoll_Santea_BillClinton Santea_BillClinton_Lakrishte
BibajSport_RrugaB_MaxiMarket EnverMaloku_Qerimi_HajrullahAbdullahu
