Path
ArbenorEAstritDehari_Eulexi_ErnestKoliqi BibajSport_RrugaB_MaxiMarket
PTK_Katedralja_Menza Menza_Qerimi_EnverMaloku
MaxiMarket_RrugaB_Teknik RrugaB_Teknik_Menza
Parking_Katedralja_Santea Katedralja_Santea_BillClinton Santea_BillClinton_ShtjefenGjeqovi
Teknik_Menza_MAShTI Menza_Katedralja_Parking
Parking_Katedralja_Menza Menza_Qerimi_EnverMaloku
UCK_Lulishtja_FehmiAgani LuanHaradinaj_BQK_Garibaldi
Parking_Katedralja_Menza Menza_Qerimi_EnverMaloku
MaxiMarket_RrugaB_Teknik ArbenorEAstritDehari_Eulexi_ErnestKoliqi
FehmiLladrovci_Teknik_Qerimi Teknik_Menza_Katedralja
Parking_Katedralja_Menza Katedralja_Menza_Teknik Menza_Qerimi_EnverMaloku
Parlamenti_MAShTI_Menza MAShTI_Menza_Katedralja Menza_Katedralja_Santea
Katedralja_Santea_BillClinton Santea_BillClinton_Lakrishte
Tirana_Lulishtja_UCK MAShTI_Parlamenti_XhamiaLlapitTregu
RobertDoll_Santea_BillClinton Santea_BillClinton_Tuneli
Lakrishte_BillClinton_Santea BillClinton_Santea_Katedralja
LuanHaradinaj_BQK_Garibaldi Parking_Katedralja_Menza Katedralja_Menza_Teknik
Parking_Katedralja_Menza Katedralja_Santea_RobertDoll
Santea_Katedralja_Menza Menza_Qerimi_Teknik
FehmiLladrovci_Teknik_Qerimi EnverMaloku_Qerimi_Teknik
MaxiMarket_RrugaB_Teknik RrugaB_Teknik_Qerimi Teknik_Menza_MAShTI
Menza_MAShTI_Parlamenti MAShTI_Parlamenti_IbrahimLutfiu
Katedralja_Santea_RobertDoll UkshinHoti_BQK_LuanHaradinaj
EnverMaloku_Qerimi_Teknik Qerimi_Teknik_Menza
MAShTI_Parlamenti_XhamiaLlapitTregu LuanHaradinaj_BQK_UkshinHoti
Menza_Katedralja_Santea Katedralja_Santea_BillClinton Santea_BillClinton_Tuneli
Vushtrria_Tjegullorja_XhamiaLlapit Tjegullorja_XhamiaLlapit_VellezeritFazliu
BillClinton_Santea_Katedralja Katedralja_Menza_Teknik
Menza_Teknik_RrugaB Teknik_RrugaB_BibajSport
RrugaB_Teknik_Menza Teknik_Menza_Katedralja Menza_MAShTI_Parlamenti
XhamiaLlapitTregu_XhamiaLlapit_Makovc XhamiaLlapit_Tjegullorja_Plava
Garibaldi_BQK_Grandi Parking_Katedralja_Menza
Parking_Katedralja_Santea Katedralja_Santea_BillClinton Santea_BillClinton_Lakrishte
FehmiLladrovci_Teknik_Menza Teknik_Menza_MAShTI Parlamenti_MAShTI_KarlGega
Tirana_Lulishtja_FehmiAgani XhamiaLlapitTregu_Parlamenti_MAShTI
Parlamenti_MAShTI_Menza MAShTI_Menza_Qerimi Menza_Qerimi_EnverMaloku
Menza_Katedralja_Santea Katedralja_Santea_BillClinton
MaxiMarket_RrugaB_Teknik RrugaB_Teknik_Qerimi Teknik_Menza_Katedralja
MAShTI_Menza_Teknik Menza_Teknik_FehmiLladrovci
Parking_Katedralja_Santea Katedralja_Santea_RobertDoll
RobertDoll_Santea_BillClinton Santea_BillClinton_Lakrishte
Katedralja_Santea_BillClinton Santea_BillClinton_Lakrishte
XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit XhamiaLlapitTregu_XhamiaLlapit_Makovc
Katedralja_Santea_RobertDoll UkshinHoti_BQK_LuanHaradinaj
FehmiLladrovci_Teknik_Qerimi Menza_MAShTI_Parlamenti
BibajSport_RrugaB_MaxiMarket ArbenorEAstritDehari_Eulexi_ErnestKoliqi
XhamiaLlapitTregu_Parlamenti_MAShTI Parlamenti_MAShTI_Menza MAShTI_Menza_Teknik Menza_Teknik_RrugaB
Teknik_Menza_MAShTI Menza_MAShTI_Parlamenti
Parlamenti_MAShTI_Menza MAShTI_Menza_Teknik Teknik_RrugaB_BibajSport
PTK_Katedralja_Menza Katedralja_Santea_RobertDoll
MAShTI_Menza_Katedralja Menza_Qerimi_EnverMaloku
Santea_BillClinton_Tuneli BillClinton_Santea_Katedralja
Parking_Katedralja_PTK BulevardiDK_PTK_ImzotNikeprela
