Intersection Name,Nr Phase,Manual Street Name,Bee Hive Street Name
Lakrishte,1,TahirZajmi_Lakrishte_BillClinton,TahirZajmi_Lakrishte_BillClinton
BillClinton,1,Lakrishte_BillClinton_Santea,Lakrishte_BillClinton_Santea
BillClinton,2,Lakrishte_BillClinton_ShtjefenGjeqovi,Tuneli_BillClinton_ShtjefenGjeqovi
BillClinton,3,Tuneli_BillClinton_ShtjefenGjeqovi,Lakrishte_BillClinton_ShtjefenGjeqovi
Santea,1,BillClinton_Santea_Katedralja,RobertDoll_Santea_BillClinton
Santea,2,BillClinton_Santea_RobertDoll,BillClinton_Santea_Katedralja
Santea,3,RobertDoll_Santea_BillClinton,BillClinton_Santea_RobertDoll
Katedralja,1,Menza_Katedralja_Santea,Menza_Katedralja_Santea
Katedralja,2,Menza_Katedralja_PTK,Menza_Katedralja_PTK
Katedralja,3,PTK_Katedralja_PTK,Parking_Katedralja_PTK
Katedralja,4,Parking_Katedralja_PTK,PTK_Katedralja_PTK
MAShTI,1,Menza_MAShTI_Parlamenti,Menza_MAShTI_Parlamenti
MAShTI,2,Parlamenti_MAShTI_KarlGega,Parlamenti_MAShTI_KarlGega
MAShTI,3,FakultetiEkonomik_MAShTI_Parlamenti,FakultetiEkonomik_MAShTI_Parlamenti
Parlamenti,1,MAShTI_Parlamenti_XhamiaLlapitTregu,MAShTI_Parlamenti_XhamiaLlapitTregu
Parlamenti,2,XhamiaLlapitTregu_Parlamenti_IbrahimLutfiu,XhamiaLlapitTregu_Parlamenti_IbrahimLutfiu
Parlamenti,3,IbrahimLutfiu_Parlamenti_MAShTI,IbrahimLutfiu_Parlamenti_MAShTI
XhamiaLlapitTregu,1,Parlamenti_XhamiaLlapitTregu_XhamiaLlapit,MetoBajraktari_XhamiaLlapitTregu_XhamiaLlapit
XhamiaLlapitTregu,2,MetoBajraktari_XhamiaLlapitTregu_XhamiaLlapit,Parlamenti_XhamiaLlapitTregu_XhamiaLlapit
XhamiaLlapit,1,XhamiaLlapitTregu_XhamiaLlapit_LidhjaLezhes,LidhjaLezhes_XhamiaLlapit_Tjegullorja
XhamiaLlapit,2,LidhjaLezhes_XhamiaLlapit_Tjegullorja,XhamiaLlapitTregu_XhamiaLlapit_LidhjaLezhes
Tjegullorja,1,XhamiaLlapit_Tjegullorja_Vushtrria,Vushtrria_Tjegullorja_Zagrebi
Tjegullorja,2,Vushtrria_Tjegullorja_Zagrebi,XhamiaLlapit_Tjegullorja_Vushtrria
Lulishtja,1,Tirana_Lulishtja_KolegjiRiinvest,Tirana_Lulishtja_KolegjiRiinvest
Lulishtja,2,UCK_Lulishtja_Tirana,UCK_Lulishtja_Tirana
Lulishtja,3,KolegjiRiinvest_Lulishtja_UCK,KolegjiRiinvest_Lulishtja_UCK
Lulishtja,4,FehmiAgani_Lulishtja_Tirana,FehmiAgani_Lulishtja_Tirana
BQK,1,UkshinHoti_BQK_UkshinHoti,UkshinHoti_BQK_UkshinHoti
BQK,2,Garibaldi_BQK_Garibaldi,Garibaldi_BQK_Garibaldi
BQK,3,Grandi_BQK_Grandi,Grandi_BQK_Grandi
KomunaRe,1,AhmetKrasniqi_KomunaRe_FeridCurri,AhmetKrasniqi_KomunaRe_FeridCurri
KomunaRe,2,Cacttus_KomunaRe_AhmetKrasniqi,Cacttus_KomunaRe_AhmetKrasniqi
Vranjefc,1,IsmetKrasniqi_Vranjefc_AzizZhilivoda,IsmetKrasniqi_Vranjefc_AzizZhilivoda
Vranjefc,2,AzizZhilivoda_Vranjefc_Bardhosh,AzizZhilivoda_Vranjefc_Bardhosh
Qerimi,1,EnverMaloku_Qerimi_EnverMaloku,EnverMaloku_Qerimi_EnverMaloku
Qerimi,2,Menza_Qerimi_Menza,Menza_Qerimi_Menza
Qerimi,3,Teknik_Qerimi_Teknik,Teknik_Qerimi_Teknik
Teknik,1,Menza_Teknik_Menza,RrugaB_Teknik_FehmiLladrovci
Teknik,2,FehmiLladrovci_Teknik_FehmiLladrovci,FehmiLladrovci_Teknik_FehmiLladrovci
Teknik,3,RrugaB_Teknik_FehmiLladrovci,Qerimi_Teknik_Qerimi
Teknik,4,Qerimi_Teknik_Qerimi,Menza_Teknik_Menza
RrugaB,1,MaxiMarket_RrugaB_Teknik,MaxiMarket_RrugaB_Teknik
RrugaB,2,Teknik_RrugaB_Teknik,Teknik_RrugaB_Teknik
Eulexi,1,ArbenorEAstritDehari_Eulexi_MuharremFejza,ArbenorEAstritDehari_Eulexi_MuharremFejza
Eulexi,2,MuharremFejza_Eulexi_ErnestKoliqi,ErnestKoliqi_Eulexi_ArbenorEAstritDehari
Eulexi,3,ErnestKoliqi_Eulexi_ArbenorEAstritDehari,MuharremFejza_Eulexi_ErnestKoliqi
PTK,1,Katedralja_PTK_BulevardiDK,BulevardiDK_PTK_Katedralja
PTK,2,BulevardiDK_PTK_Katedralja,28Nentori_PTK_Katedralja
PTK,3,28Nentori_PTK_Katedralja,Katedralja_PTK_BulevardiDK
Menza,1,Katedralja_Menza_Katedralja,Katedralja_Menza_Katedralja
Menza,2,MAShTI_Menza_Teknik,MAShTI_Menza_Teknik
Menza,3,MAShTI_Menza_Qerimi,MAShTI_Menza_Qerimi
Menza,4,Qerimi_Menza_Qerimi,Qerimi_Menza_Qerimi
TahirZajmi,1,Lakrishte_TahirZajmi_TerminaliDoganor,Lakrishte_TahirZajmi_TerminaliDoganor
TerminaliDoganor,1,TreguIMadh_TerminaliDoganor_TahirZajmi,TreguIMadh_TerminaliDoganor_TahirZajmi
